"Insert (nedtrie)","Find 0-N (nedtrie)","Find N (nedtrie)","Remove (nedtrie)","Iterate (nedtrie)","Insert (rbtree)","Find 0-N (rbtree)","Find N (rbtree)","Remove (rbtree)","Iterate (rbtree)","Insert (hash)","Find 0-N (hash)","Find N (hash)","Remove (hash)","Iterate (hash)","Insert (trie_map<size_t>)","Find 0-N (trie_map<size_t>)","Find N (trie_map<size_t>)","Remove (trie_map<size_t>)","Iterate (trie_map<size_t>)","Insert (map<size_t>)","Find 0-N (map<size_t>)","Find N (map<size_t>)","Remove (map<size_t>)","Iterate (map<size_t>)","Insert (unordered_map<size_t>)","Find 0-N (unordered_map<size_t>)","Find N (unordered_map<size_t>)","Remove (unordered_map<size_t>)","Iterate (unordered_map<size_t>)"
13486819.227984,11347490.653599,12943919.273657,13988089.935581,15376202.905825,12205491.097187,11078643.585285,12987131.333993,12710779.380805,14859766.916093,11576907.158121,8899272.544623,10484065.435299,14368487.785068,18381945.933673,7830819.552175,11187614.999824,12726555.740222,9629603.772026,18383076.783620,6678927.537726,13212317.979979,12161244.850207,9022135.363476,13794795.887547,8768983.665346,10063612.609404,11371808.223951,7804504.592670,15372749.950189
13347657.790435,11256460.444030,12832100.162096,13954352.821892,15406311.261484,12095997.012719,10979122.435382,12852709.944048,12648914.128651,14786323.920665,11596555.608668,8872309.515027,10424497.096266,14306193.184530,18347151.534539,7746913.392604,11111843.677818,12588992.792386,9511515.792841,18342181.867650,6605498.716357,13076944.939770,12026124.132639,8952822.998350,13699493.741378,8730707.219895,10046465.084070,11302869.850908,7787670.989679,15274614.594465
13220931.537391,11176526.671823,12738251.521871,13938732.726972,15439301.453275,11953502.006316,10897277.504359,12756611.391750,12697198.829983,14781959.047531,11630828.913467,8855635.268928,10380631.142466,14289393.696007,18325442.689516,7660206.756572,11028558.066648,12468756.737331,9445290.216656,18310813.202868,6509269.795224,12954083.857793,11887211.203341,8894806.889058,13705774.738178,8718164.469377,10031993.981096,11295885.849162,7786682.754857,15192617.138985
13117244.297277,11098038.932821,12691178.901479,14005323.646801,15473615.588252,11850993.822186,10822877.127982,12691144.019600,12631707.654393,14844495.517472,11647848.766831,8837107.283411,10317693.317126,14234120.246947,18300355.426743,7599476.010028,10955741.177667,12393504.939032,9425455.542245,18288860.167101,6456278.368378,12891867.765608,11825738.655849,8823040.877118,13769287.418490,8715706.902311,10024706.423441,11292696.270575,7795398.967426,15156965.898024
13008816.765157,11038657.806655,12612903.607240,13953852.896199,15496834.518656,11781030.514164,10754758.519553,12631319.049640,12527215.396737,14775278.647151,11660400.363519,8818944.835037,10247398.830452,14210034.180225,18283866.748866,7529976.862618,10874283.369912,12299698.916971,9371861.492621,18274309.289000,6435394.009251,12813621.502521,11771833.672088,8771980.203692,13655238.931467,8733748.770374,10006351.988830,11195805.667887,7777858.340276,15187975.032171
12922186.698115,10993067.661384,12548839.360799,13860116.802269,15496858.499280,11691449.753567,10692529.976578,12557703.686879,12454199.184964,14756813.396697,11656951.465412,8796927.219351,10185098.801206,14140914.211490,18267830.581847,7474839.309587,10823621.863817,12228219.606744,9287695.633970,18262232.610917,6418834.685616,12734198.651491,11734243.423993,8679282.888758,13649138.004317,8694465.520516,9978374.531556,11135015.791367,7755315.481165,15198865.943304
12884263.393949,10938407.815502,12492522.727155,13777496.974104,15507744.204378,11602117.902632,10631352.336188,12448374.015204,12609370.336606,14727361.235050,11658510.520443,8780838.407520,10131628.883319,14108849.129027,18251309.507987,7437481.807712,10756714.253657,12176032.039595,9240280.367257,18248770.851157,6393058.870296,12682696.236722,11683636.795552,8645679.513033,13603988.248121,8642118.617114,9963592.169466,11051549.741180,8282340.641600,15216473.483885
12824871.481744,10893855.541504,12421653.151840,13650742.910454,15525518.695021,11498136.765340,10582632.735419,12384561.096197,12652437.923734,14666294.073282,11653264.293097,8765293.101966,10080837.385047,14058067.107673,18230960.669390,7394671.572814,10720926.199927,12133323.098124,9185359.687929,18239992.066150,6374036.016463,12655415.887745,11644223.854795,8598354.946049,13547808.210008,8574226.370678,9958848.276181,11031155.056528,8268938.962638,15141969.796290
12766605.987854,10855293.959219,12350445.675047,13510176.826487,15574433.075191,11380574.777365,10541866.191102,12287972.266347,12616519.495226,14691591.228829,11662108.896756,8750454.407812,10055094.156413,14087318.097670,18219034.944888,7357001.910993,10657131.442609,12076925.053492,9107233.870004,18232959.344462,6359357.717808,12612018.036199,11631251.864782,8554061.844299,13573177.361835,8564029.040815,9956736.982119,11026581.579722,8267250.676989,15093686.725521
12724410.182715,10810263.980895,12492794.983406,13414118.578111,15623808.491854,11284289.942336,10505521.877216,12184213.879641,12564855.831314,14775454.033586,11671562.877756,8736459.175208,10012768.702944,14089330.833504,18211562.961362,7345095.494352,10608310.385910,12059721.109142,9077758.783076,18225623.596101,6328168.060324,12574930.754071,11594864.177172,8493257.451933,13621978.256610,8570152.184117,9953094.100873,11048172.761142,8272914.438644,15044575.167482
