"Insert (nedtrie)","Find 0-N (nedtrie)","Find N (nedtrie)","Remove (nedtrie)","Iterate (nedtrie)","Insert (rbtree)","Find 0-N (rbtree)","Find N (rbtree)","Remove (rbtree)","Iterate (rbtree)","Insert (hash)","Find 0-N (hash)","Find N (hash)","Remove (hash)","Iterate (hash)","Insert (trie_map<size_t>)","Find 0-N (trie_map<size_t>)","Find N (trie_map<size_t>)","Remove (trie_map<size_t>)","Iterate (trie_map<size_t>)","Insert (map<size_t>)","Find 0-N (map<size_t>)","Find N (map<size_t>)","Remove (map<size_t>)","Iterate (map<size_t>)","Insert (unordered_map<size_t>)","Find 0-N (unordered_map<size_t>)","Find N (unordered_map<size_t>)","Remove (unordered_map<size_t>)","Iterate (unordered_map<size_t>)"
6862014.581521,6956357.599307,7028257.589590,9157012.003801,14218196.633159,7086077.742877,8128450.119050,8683331.769380,10154625.670278,13603153.220823,9769147.203040,6129388.796986,7230336.451442,14078209.120089,17772925.832540,3503253.325615,6315612.582705,6279098.150981,4592415.832511,17747303.759306,4617190.602368,8870439.728024,8031714.031646,5833620.334712,12347068.250972,8553277.088714,9809972.610679,10947334.285515,8111445.709380,15135869.359303
6860890.526494,6955152.679682,7028822.023209,9151443.232682,14216808.749034,7075707.579131,8128279.311372,8674458.999430,10132592.644932,13578971.704544,9770123.618442,6135011.743191,7229848.837845,14076368.881488,17771653.385867,3501268.948280,6311335.248543,6271860.187181,4592460.647738,17747415.763542,4617748.090505,8866285.994992,8025767.364628,5827119.231198,12345932.345954,8550688.678558,9810048.143692,10944526.959550,8109651.694927,15139103.459742
6859967.032179,6955881.606105,7027408.349003,9146821.424806,14215162.396640,7065084.755000,8124996.362868,8675032.233901,10109299.695939,13553454.708016,9772689.280642,6141222.558991,7227563.923825,14075550.034168,17771687.622834,3500290.080221,6316514.196661,6258210.321576,4591387.537431,17738183.866713,4617696.003237,8860208.436122,8014369.216087,5824520.069843,12343978.973959,8549253.719463,9806323.883419,10941323.779714,8091058.127967,15139676.321265
6858249.083527,6952754.153324,7026065.776856,9140565.119988,14227961.996324,7055887.102715,8115909.867751,8666441.253571,10091537.332502,13526595.006927,9774345.397919,6140409.606619,7221992.710693,14071635.897446,17770814.979718,3498518.951023,6312815.513159,6252139.015828,4591134.628187,17737180.743282,4617415.073631,8851376.587784,8005307.296924,5824936.396770,12341363.300436,8548113.290402,9810073.467105,10938754.386216,8090739.362277,15141112.066661
6856809.673647,6955103.494860,7023464.812425,9139053.834143,14223808.807544,7048764.138007,8111643.820403,8657926.562584,10081214.213867,13501389.606488,9779244.203406,6142306.217892,7220455.280751,14069728.063702,17767469.904759,3499020.248548,6313407.049012,6251469.716501,4589517.418672,17736390.186364,4618658.340502,8850220.687391,7999130.840202,5820522.573383,12338421.697836,8547998.110331,9809504.683958,10937367.664237,8085516.541713,15141519.160226
6854442.639182,6953711.529737,7025545.679090,9132023.437004,14218218.921000,7040737.192518,8104000.513483,8649818.184357,10069914.101572,13473415.242701,9781696.516059,6140657.085328,7217256.148935,14066304.300023,17766365.619197,3497905.529195,6313199.203443,6245181.064045,4590360.954237,17736463.766527,4618157.265298,8842343.236386,7987215.200466,5816953.023020,12335221.780831,8547681.982122,9810650.986024,10935410.947674,8083711.507111,15139055.436196
6852781.524564,6949554.176315,7024405.814415,9129892.055339,14215367.540536,7029937.328401,8095894.840395,8640606.771684,10065065.849034,13447426.275087,9783742.075962,6136123.225076,7214870.233435,14063412.247415,17765281.224359,3499801.639572,6318855.946387,6234900.672402,4588002.713795,17735887.025892,4615327.054099,8833353.199423,7980726.149086,5811636.062733,12335323.792506,8545455.523093,9810332.633290,10932523.061576,8085485.129669,15200041.308687
6851007.216159,6946282.392922,7022797.345597,9131631.218745,14212240.584262,7022451.071010,8091049.927170,8631488.932337,10056909.253947,13418151.528522,9785903.085648,6137790.315528,7212927.399395,14059750.909051,17765171.218996,3498149.639792,6306111.376439,6232339.095460,4587973.728632,17735131.619868,4613316.368904,8829550.697994,7976582.974134,5811237.772535,12330518.159222,8544668.983596,9808834.655480,10932261.673151,8090453.644166,15201105.650632
6850347.560967,6946283.988257,7018830.676581,9128889.230841,14210591.242404,7015666.916920,8085316.110728,8626554.708793,10050527.554796,13398216.122216,9788241.079245,6138973.536781,7211322.280165,14072490.229708,17765099.638514,3498077.901473,6314274.105029,6246829.905258,4585506.093694,17735296.031015,4607711.660633,8853217.135632,7974265.228660,5808633.520611,12323769.480322,8542190.106813,9784138.422491,10929982.623352,8093842.125347,15200846.002803
6849108.804824,6944044.269599,7014503.020900,9125391.705426,14206317.836431,7016164.737910,8084630.964020,8624419.839352,10052110.595689,13409926.090460,9791051.938763,6141597.372046,7209489.699596,14067290.888090,17737999.126086,3496652.799756,6318891.077060,6245547.459518,4585710.678801,17735274.864210,4607559.156622,8847099.998408,7968089.131190,5812578.663263,12316998.322016,8541267.188680,9781670.923025,10931415.285173,8095413.537041,15197879.817951
6847627.179330,6946086.282926,7013523.984508,9122411.731373,14205635.204986,7016851.664636,8084801.539797,8623719.060576,10057078.853654,13407775.475724,9786560.797106,6141322.200481,7205639.053432,14060932.194815,17736534.384812,3496404.297530,6321733.821730,6237893.656335,4583362.087918,17735150.618363,4606735.601793,8833316.734584,7961654.155485,5817806.123944,12310206.088839,8541532.246701,9782376.880034,10931054.662118,8094107.314562,15199881.917224
6846610.047719,6947393.625796,7012194.013894,9117885.292327,14190265.850874,7017537.231824,8085256.374404,8628187.021338,10066093.842943,13422825.668008,9788326.472094,6136891.744368,7203597.790444,14054611.139404,17734711.730959,3495343.123936,6326066.413141,6250349.654306,4583337.377995,17744117.148865,4605125.176445,8831670.400247,7959770.095778,5816544.381088,12307236.663865,8541422.669970,9781155.301700,10931569.891088,8113810.635574,15203261.126980
6845340.327170,6946577.077895,7011685.283421,9115936.246785,14191388.076795,7024905.033599,8093840.155533,8630516.535554,10074402.602549,13448560.737931,9791036.871049,6136922.222036,7205616.494484,14051577.472262,17713821.215171,3495701.451129,6328558.546220,6253618.055515,4580200.058450,17745219.018939,4604306.625380,8828376.835995,7961355.831338,5803189.451968,12306912.760378,8540264.818865,9784638.966350,10932463.259966,8116938.891956,15201319.826825
6844019.580000,6940357.764695,7011791.104767,9111811.669375,14192984.904385,7031580.251520,8096000.242078,8633107.571152,10083313.935373,13472792.802753,9792625.458638,6135186.480704,7203139.872805,14046746.095900,17713246.327114,3494334.394095,6333536.983061,6247225.226658,4579223.249262,17758856.203025,4610585.599625,8819027.314048,7963343.434847,5804849.401603,12307411.064805,8537475.070403,9781747.221304,10930757.402980,8118830.770689,15204026.324985
6843648.521844,6935477.334344,7011052.262640,9112990.391458,14194600.219320,7037255.777866,8102324.661088,8639744.753355,10092582.224093,13500696.778280,9794541.677266,6135582.625458,7201777.798915,14041195.280879,17713067.178484,3492730.957000,6347085.111199,6241915.072177,4576917.181508,17797797.950015,4610287.230374,8819780.660852,7967176.175972,5803409.494181,12310234.133627,8536419.043303,9776507.363885,10927186.797962,8118728.171079,15204245.600417
6840058.960488,6937275.121610,7010696.974853,9110732.327987,14194762.774813,7047232.639067,8109163.296489,8648306.215905,10100064.942093,13526865.851168,9796597.429028,6135988.300158,7198763.021913,14034109.157129,17712286.623890,3489730.011796,6351317.349935,6244191.743249,4577915.226689,17836816.466784,4611737.530928,8809389.160816,7963040.373005,5803198.432964,12309700.291174,8536367.819461,9777657.757989,10930121.049739,8120496.431651,15209617.707733
6839563.745779,6937088.636605,7010353.499050,9111400.421179,14195626.742799,7054011.374765,8111861.556963,8656314.839815,10110717.036381,13555361.942692,9799863.469249,6136312.310901,7195069.728922,14025685.204217,17710450.252370,3488283.785663,6368154.560660,6237337.151655,4575052.464061,17866181.313489,4612035.520138,8799479.083927,7940378.278769,5804337.300237,12305413.112990,8535855.812935,9784482.538487,10928182.096773,8119522.802467,15209938.759283
6837885.149589,6940696.180888,7013071.562470,9111074.919891,14191966.346217,7063383.305684,8117514.093897,8663786.845705,10123419.376046,13584191.743295,9802423.588046,6136374.126928,7192710.106887,14019088.530742,17709427.140680,3482822.489712,6369134.217697,6225298.469396,4574064.696191,17906426.407537,4617589.547417,8792224.064691,7934220.555583,5808887.119734,12308766.814217,8536186.411897,9805985.815992,10929784.018817,8119339.631659,15212818.796189
6833205.186284,6945516.511115,7015151.611061,9113002.881888,14193077.892655,7069855.267474,8123194.626915,8671511.464135,10131080.952265,13611578.192108,9804120.463541,6128665.273875,7187935.406341,14011635.577280,17733210.172833,3480696.865286,6370152.338369,6217917.825549,4572687.793926,17945432.077014,4617678.040651,8795055.551174,7934354.503076,5806698.328224,12315532.567211,8535839.815178,9780022.628603,10927980.679077,8118665.033047,15215251.949454
6832342.889272,6944110.799205,7014505.081281,9114810.513407,14190889.134356,7075324.134177,8128004.623100,8677324.544133,10144366.661949,13639394.218501,9812953.386625,6125589.511727,7182156.275476,14006912.519077,17732249.290743,3478154.299556,6372899.809680,6216598.074292,4573470.481627,17984772.656025,4617577.186006,8803437.294270,7932996.684118,5805005.114411,12319763.252300,8536697.694954,9782805.260050,10927718.331615,8117138.429575,15212766.543133
6831036.248290,6938380.221267,7013791.316355,9113969.559822,14202307.019180,7079604.785390,8129380.735714,8677769.403314,10142348.481692,13652315.342181,9814919.734491,6124655.250577,7179248.318615,14000440.331233,17728559.196561,3476283.008669,6368061.233537,6209179.366763,4570439.025170,18023993.997065,4618265.130702,8804042.436240,7936196.576307,5803220.553110,12322351.461836,8535447.392148,9787032.209226,10927491.243983,8115957.867739,15212314.144954
6826627.355473,6935711.034645,7012304.799035,9112060.655670,14199982.160470,7077605.252208,8129402.789393,8681152.171241,10147609.436360,13654676.852792,9816928.567235,6130021.907830,7176608.641965,13994501.840870,17748199.178403,3470683.823954,6368965.825607,6196635.960344,4571362.865320,18063049.863805,4617286.855991,8782366.289882,7933719.414922,5813617.063834,12324370.018048,8534930.003986,9781009.203045,10923859.655062,8111386.059903,15215966.227308
6825994.968422,6937586.580271,7011461.319420,9103904.725977,14198090.190258,7075699.939492,8129148.344665,8684241.101093,10146970.060350,13645748.409985,9819341.534949,6129488.666336,7173992.472217,13986793.225092,17747880.986925,3469755.004309,6374869.560415,6194658.178420,4569291.205424,18089308.918752,4616911.233013,8791892.617139,7931269.467894,5812312.561400,12327000.436573,8535921.809162,9783862.987906,10923922.956982,8111264.210135,15214719.610696
6824925.362177,6941720.355590,7010350.826404,9095031.261074,14196007.414539,7075632.715780,8126699.888467,8683571.501675,10145272.822502,13644838.659221,9814269.936440,6128964.767244,7169431.655677,13978763.350174,17746270.073066,3469460.696887,6366091.119379,6191707.608777,4567367.922992,18089601.546261,4616754.990672,8790278.363501,7928752.632339,5809310.979066,12328335.270396,8536061.532701,9785613.796136,10925257.441883,8109756.699381,15216638.368213
6826661.299892,6939338.519165,7009035.602268,9091092.104870,14193682.373404,7074240.800767,8122688.685883,8680977.319334,10142584.175205,13646899.473683,9816706.183514,6127958.645108,7164471.298736,13969955.586351,17745176.443788,3467121.166618,6360088.435627,6191631.413675,4562623.491640,18090032.238736,4614802.246489,8796602.299804,7931500.658727,5810574.991991,12329980.353406,8516594.678267,9785999.437449,10922019.688695,8104903.811469,15215030.785413
6826035.303123,6940868.773674,7008474.006354,9085632.067996,14178924.758512,7074161.128113,8119833.656348,8672988.908051,10142908.382015,13645669.073879,9818231.999227,6129310.155251,7162648.793202,13961386.655557,17723829.086943,3466365.905676,6352500.481875,6187501.108190,4563182.920855,18100670.876916,4614945.778676,8801420.027402,7951650.231066,5810411.726450,12334088.924319,8516762.455585,9780408.926164,10920202.344670,8102259.359697,15213002.630205
6825577.587179,6938991.187253,7004158.026297,9080973.553712,14179021.897249,7070813.399910,8116324.020623,8670233.768927,10139543.481102,13645304.829353,9820330.437781,6127740.176253,7159844.022766,13957221.963919,17723605.822099,3470274.883360,6353583.111298,6189471.042069,4561336.864444,18099684.137164,4615206.324925,8803331.987223,7954136.068135,5806436.753822,12333727.143437,8509926.332412,9776482.099990,10911479.419857,8093063.408690,15204749.835184
6828179.310419,6934033.565666,7002715.813701,9078511.029509,14178444.964376,7068672.454112,8115423.852870,8668578.925511,10144049.353629,13646060.697483,9816402.769625,6133998.060463,7157960.868165,13950782.298776,17723205.223088,3470122.588401,6348869.751268,6185306.941935,4559485.526308,18099603.670174,4614380.084359,8800149.230730,7954503.765286,5802073.540866,12332043.265157,8509925.878243,9800198.489423,10908290.693719,8090938.637637,15208045.410050
6826747.832493,6933353.565609,7001174.727245,9074699.202240,14175951.554779,7071054.166361,8114813.067288,8669478.183314,10148606.050544,13646832.103095,9818751.584572,6136284.346300,7158448.240229,13945078.935007,17725939.886520,3470697.379104,6344857.879414,6186509.435475,4554478.402468,18099310.927210,4613260.521595,8797825.858436,7956821.325674,5798139.100139,12331110.487574,8507850.319799,9799448.253765,10906660.099852,8091214.802202,15211711.953308
6825425.580453,6936183.485027,7000023.121180,9073206.577722,14174117.119279,7074591.985863,8114673.529569,8669099.788475,10164953.788523,13644704.994418,9821701.460245,6142447.018378,7156190.041811,13938210.096443,17706924.097985,3471018.072981,6350045.501765,6182600.760256,4553640.530333,18099292.550364,4607275.963733,8800760.666854,7960519.090659,5798642.950896,12339918.454514,8507546.186585,9796017.318483,10904388.142451,8088694.095535,15122026.059965
6828184.595128,6934693.193661,6999424.723523,9072492.584547,14157759.629105,7077305.713868,8110749.475352,8666994.898654,10165211.730838,13640239.067875,9824271.699357,6138913.272683,7153224.010557,13935245.836473,17706291.748272,3475103.740492,6353247.658550,6184370.891417,4550282.907237,18099122.417893,4610714.357123,8835214.261345,7967767.341303,5800368.784830,12349859.316942,8507062.615683,9796668.774745,10903387.916204,8091158.667312,15118408.153420
6827547.939936,6935737.774542,6998424.328114,9072881.609102,14156950.720601,7080355.620065,8109966.534562,8665267.880639,10176050.403347,13646109.266086,9827438.783560,6138670.030189,7150102.483398,13932473.220737,17704683.877352,3474421.043929,6350201.277688,6168278.916059,4549680.363230,18090359.673741,4614305.836772,8836509.876094,7971864.406660,5803811.745764,12361706.531680,8506044.677808,9795273.937935,10902071.241829,8092684.501841,15119986.398108
6826738.347184,6931862.807061,6996580.084321,9074121.249085,14156565.831994,7078111.556158,8109456.674277,8663096.169819,10186298.473705,13645132.874328,9830362.194597,6141680.051355,7148798.513033,13927536.969662,17704507.890941,3475199.900840,6345631.554408,6169470.321843,4548312.667543,18090222.975173,4616513.307006,8847608.653447,7979675.177179,5807089.582189,12374210.623907,8503368.545638,9796596.766291,10901617.045520,8090037.555943,15123093.915370
6825390.689959,6931232.165294,6994880.099044,9072455.677569,14153760.759733,7077575.839984,8112941.554679,8662509.793956,10194624.318960,13642156.737135,9833217.443945,6144989.692121,7144993.058682,13924864.549851,17705262.585535,3478175.177059,6346147.314325,6166741.908366,4549330.375258,18090237.575387,4614721.450028,8858270.990064,7985701.927876,5807407.587954,12388175.659997,8521311.906874,9802621.522376,10901684.579613,8089301.206031,15124778.226190
6823896.999134,6928006.088490,6993467.699452,9065888.357265,14162771.117344,7078910.265289,8112961.563934,8668119.056732,10199141.956106,13641857.333155,9834849.858802,6147100.566095,7142030.919429,13922750.856197,17727452.180643,3478660.063302,6346830.281941,6167922.137400,4544983.195394,18089738.470748,4618935.713184,8868594.507350,7994156.100444,5806953.438167,12404300.921959,8519646.608495,9776932.727773,10898706.869433,8083501.180831,15127424.095310
6823053.131118,6924858.879361,6991707.140320,9063230.805247,14161748.156177,7083581.924854,8111606.587699,8667536.930125,10199775.155591,13642090.818514,9836633.041946,6148432.299174,7138735.932838,13916731.622539,17725896.390186,3476936.013532,6334546.010265,6162760.907670,4544256.679248,18081091.572968,4623994.325017,8882633.921489,8003385.356179,5806812.037035,12423334.557914,8524462.700080,9777132.508187,10902216.226462,8085581.590511,15134961.343165
6822043.074309,6921171.270021,6991513.456477,9058135.746532,14159603.527782,7088747.870943,8109624.067715,8666227.081946,10207649.498546,13642604.958423,9845124.920228,6147167.258267,7135781.471904,13901724.384968,17725281.928139,3477480.297728,6336764.706790,6165529.566243,4542427.076780,18081246.020204,4627960.253942,8896126.778514,8010904.870844,5808955.274029,12441418.999493,8521198.176353,9775079.973223,10901833.450503,8081346.620251,15131671.231431
6821599.317345,6922357.618436,6991838.453845,9050068.528157,14160750.582310,7088762.211186,8107140.243712,8664726.296493,10214304.735084,13638477.958961,9846007.175835,6148426.365718,7132250.303428,13897768.955167,17721618.975964,3476361.737118,6342040.859666,6162372.848432,4543829.005299,18081252.027681,4631818.096016,8909275.239716,7995245.451280,5812746.498052,12455922.944333,8519309.125730,9764157.348401,10900658.648897,8081615.280735,15131214.440033
6820906.080502,6921567.130249,6987932.921646,9048836.677953,14160185.683597,7087473.062393,8105218.105368,8663403.704207,10209595.410396,13638463.510375,9847086.991879,6144926.232477,7128119.651861,13895296.594804,17741730.062675,3476978.974051,6338165.997176,6163274.252621,4536557.187071,18081106.481390,4640295.973316,8918596.692671,7996698.210377,5814335.447142,12465468.404912,8519102.063111,9767186.157035,10899541.117671,8081969.642281,15221905.858456
6819684.337498,6922899.673524,6987660.563681,9048274.727866,14172759.072267,7086671.504198,8106207.600152,8657824.180384,10218960.713806,13639484.376188,9842004.373642,6151293.960022,7125036.795663,13888832.250167,17741007.213869,3474662.956295,6329034.883455,6158460.967705,4537164.082080,18081381.717950,4641050.034744,8920684.678093,7995280.499160,5813616.432281,12467925.342152,8518492.382511,9766521.499563,10898372.192109,8062311.218825,15225582.036291
6814620.878974,6918254.837896,6986825.069773,9049214.312135,14171932.922477,7086097.859345,8105005.611829,8656997.561855,10221583.526302,13642187.924477,9843119.939472,6152636.014358,7122401.568492,13883881.613227,17741178.085996,3473967.510405,6325308.256030,6170077.538694,4536108.929415,18089925.129991,4640016.446948,8925727.798276,7995967.532593,5808963.273521,12469526.028389,8519430.122844,9763757.844890,10896654.540091,8063089.345810,15226784.080720
6813939.703175,6921117.207602,6986922.754924,9053458.116977,14159580.061698,7088567.868301,8100310.780700,8655588.420912,10224278.915231,13642462.161161,9851226.990863,6150853.008046,7117280.840071,13879546.539226,17743010.979331,3470724.434223,6324799.238742,6164418.658205,4536894.773982,18089626.663976,4638621.820547,8922073.751949,7993421.577210,5809370.436555,12469781.044615,8520735.969449,9767699.705948,10893738.121341,8064396.053635,15227372.627409
6813749.235493,6920407.551185,6986419.416340,9051564.701487,14161039.965867,7089522.768484,8095970.411403,8652700.095359,10229122.785226,13641423.602355,9852755.747932,6151061.029763,7113215.373634,13872262.897625,17741062.782452,3468867.625568,6324672.978314,6164489.329796,4535988.995168,18088834.755486,4637167.509962,8915813.015906,7991091.062020,5811375.052961,12469392.069149,8520515.064021,9762113.572516,10893352.619006,8066204.123688,15228205.450004
6813441.059682,6918529.258184,6986168.868468,9053785.539829,14151748.354117,7088097.186450,8096810.221596,8650056.057907,10231823.563030,13641842.770248,9855108.798957,6150719.192158,7105886.518997,13868845.950546,17738250.317107,3466048.160008,6324456.689332,6159225.209452,4538041.286745,18088703.502135,4636464.847830,8919579.224377,7987350.789805,5813807.113476,12470122.880108,8520284.871365,9782852.891309,10894907.684176,8073376.073270,15230691.128353
6808968.558925,6918069.974580,6989071.576559,9051967.518694,14152116.671809,7085600.594706,8098540.023096,8646665.788545,10231893.068125,13640021.731067,9857704.521808,6153123.033097,7098753.431946,13862089.317709,17737455.640722,3465452.877676,6332277.474609,6161291.832395,4535198.026596,18096148.740955,4633583.905847,8913568.327361,7983801.772148,5817490.811002,12467171.986749,8498487.641319,9779181.224372,10895806.028125,8079642.321103,15233479.440803
6808127.698513,6918447.497271,6988598.899227,9051783.931378,14152658.733607,7081739.813303,8096161.108924,8645580.830148,10232825.329159,13639596.127196,9860637.513731,6154742.352653,7095826.213068,13869277.281320,17737272.884922,3462339.360612,6334128.674304,6155304.039897,4535854.467031,18095728.583521,4632237.706124,8911386.696227,7981570.764114,5822697.633777,12465975.725224,8501489.360606,9775091.992810,10895886.628044,8085786.634735,15236498.294493
6806524.517781,6912319.875404,6987401.372049,9057548.786969,14153327.248435,7079382.987410,8091392.662352,8643946.646627,10236588.398057,13642431.399685,9863282.017224,6152900.778745,7092750.484214,13863091.283623,17735203.795980,3460841.398145,6329634.699390,6154562.237014,4534411.440211,18087030.527052,4630238.317007,8904871.678065,7976789.829193,5822645.489732,12468328.848550,8503500.307110,9777282.659085,10894392.597012,8087760.144606,15235813.353407
6805785.863084,6911230.419510,6990610.550378,9056722.104121,14153114.881747,7078362.898529,8090050.095651,8641456.173093,10247728.793433,13642687.913688,9865377.892001,6151866.801186,7086168.247009,13856934.404035,17736763.118986,3456964.301025,6332593.484643,6149540.146067,4541148.028257,18087167.308658,4628896.600315,8899691.758824,7975941.134077,5827061.896351,12463661.305043,8503080.720932,9769667.057073,10895652.401499,8092218.219284,15237180.594675
6805154.514669,6908698.915081,6989946.312273,9056749.083949,14154362.585785,7077321.810956,8085661.952918,8644434.949040,10252432.310062,13644321.878901,9873500.918693,6148158.753981,7082206.533481,13851337.622757,17735621.444587,3456575.451324,6340143.450652,6150416.566749,4539763.554677,18086842.272169,4627810.856608,8899735.224820,7972981.599688,5832120.233192,12462999.192894,8503120.229466,9767119.242419,10895190.317930,8114251.698692,15235795.998277
6805098.908450,6910572.670942,6989796.531813,9057647.439683,14152991.605550,7075116.760988,8083869.051786,8641466.964398,10252521.927568,13644499.344509,9875664.421134,6148078.403610,7078740.927748,13845259.067441,17734770.338781,3454941.309377,6341241.859316,6146428.802292,4540430.909563,18086459.554282,4627992.597858,8900340.202113,7971319.609715,5841032.154593,12464242.307099,8501240.293017,9768672.077415,10894420.075990,8114920.918139,15165691.476956
6803863.855251,6905178.059694,6985865.681750,9054801.474920,14164459.873997,7074657.245464,8082936.703616,8639303.164374,10258132.798911,13644443.889964,9877956.287219,6149201.572101,7078163.122577,13842180.524437,17731997.032394,3455240.562681,6346989.606019,6149047.479822,4537698.131959,18086286.384482,4628241.038633,8900178.296792,7968983.186339,5834695.104795,12465189.636390,8500357.699525,9760669.472150,10895457.838209,8119641.868999,15167230.084673
6801796.216017,6908116.995868,6985642.555974,9052380.940084,14159556.138084,7075102.433653,8081873.571293,8638562.652177,10264365.551723,13646340.307094,9879888.255874,6147608.473075,7078977.340519,13840795.879331,17731442.675067,3453916.556869,6341634.785985,6147192.000526,4536776.021523,18086972.576193,4634138.353869,8898708.988752,7965678.507464,5839779.222204,12467320.677800,8499927.760559,9762687.021565,10894586.040287,8125971.086713,15167963.979453
6797363.884687,6909206.080324,6984319.826532,9059044.238755,14168977.970574,7075235.078492,8080189.092053,8636289.405947,10271456.544074,13645505.524159,9882123.102706,6148321.018096,7080380.156393,13836384.590068,17731735.102932,3454516.783028,6346659.146421,6152089.845741,4535240.588957,18086947.801755,4633106.249569,8892886.820925,7966027.146696,5842773.200427,12469020.727127,8499238.126003,9765431.887330,10894786.221070,8127070.555277,15164310.790475
6799522.596590,6911998.567560,6984141.948409,9065510.447549,14166477.562846,7075696.796989,8078930.942677,8636063.826974,10286284.108575,13645737.687714,9882191.973043,6142494.057896,7082209.071441,13819644.829982,17734792.704565,3452425.100729,6344963.437493,6149790.627237,4537448.239003,18087857.427289,4632982.231673,8896502.822152,7965332.730368,5843787.071389,12471433.284534,8440674.095933,9772516.139065,10915277.777475,8103752.636852,15072658.735512
6795534.265842,6912086.197981,6982689.978320,9070123.604902,14164151.137565,7072905.708953,8078627.738158,8632976.954979,10285252.365665,13644656.040918,9883241.296368,6144599.150291,7080148.341528,13815742.097613,17711139.220320,3452928.211072,6346691.181726,6154095.653416,4536027.425539,18087639.919499,4626027.748317,8890588.988745,7964377.672551,5838682.750245,12474449.104839,8453359.607882,9785850.057960,10934562.083184,8059931.320680,14983923.591549
6794995.980155,6915384.415429,6981443.656758,9073128.620301,14158576.489426,7072063.120888,8080776.176801,8631246.179282,10278545.086312,13629181.641793,9885577.090032,6144968.003639,7079819.624006,13814120.134077,17712416.936656,3452140.298212,6351339.560053,6154216.633927,4537473.085211,18096354.009849,4626251.774700,8888342.557831,7986442.129600,5837813.901184,12479140.271128,8467440.538496,9794596.679241,10952914.186635,8032694.712064,14894848.629219
6793831.020315,6916614.744644,6979847.691506,9076865.168967,14144809.512744,7070780.354302,8081177.468680,8628825.034877,10270260.479280,13629202.957411,9887795.905244,6146147.096596,7079104.733892,13813024.110107,17710570.165755,3452047.109116,6339693.132076,6156057.128600,4535652.447172,18095882.361725,4627278.992652,8890506.765405,7985306.668990,5830597.031805,12485030.430282,8481142.686061,9807594.000313,10969697.563160,7998420.234526,14804315.155628
6789319.834782,6915812.446414,6978022.566432,9078388.819238,14140972.827924,7069358.934611,8084581.956534,8626844.470889,10261700.828429,13629331.987949,9891048.951469,6138680.900035,7076851.930904,13809642.953433,17710091.563323,3450840.643270,6340860.435565,6153516.295447,4535805.826285,18095926.269045,4627324.687480,8886002.758179,7986029.875582,5823932.257273,12487580.579249,8495025.908042,9823267.853981,10988075.086234,7969384.382013,14716477.541651
6791403.690350,6914696.537104,6976703.162543,9081598.474880,14138969.851465,7067022.977896,8085410.108967,8625479.995312,10256662.449737,13630391.634457,9893399.732927,6138945.305009,7075475.076001,13805428.603047,17710005.311013,3450494.392315,6344280.616269,6157698.559151,4533520.249252,18096220.652877,4626612.137355,8857545.170666,7985520.726866,5813579.671885,12486995.281209,8509326.751047,9829225.510728,11007236.374305,7943675.941391,14695211.698531
6787030.331970,6919661.449592,6979078.268560,9084590.291143,14137333.752521,7065233.057900,8088946.260667,8619423.763331,10248720.584103,13631007.558835,9895476.291345,6140020.864914,7072857.519005,13802454.437280,17710188.381165,3446229.574062,6334520.324367,6152980.008044,4535318.693579,18096529.529775,4626729.250577,8856038.040287,7985890.118638,5820621.888900,12488093.083432,8524122.378301,9842007.895862,11026074.765889,7918656.574591,14606955.277678
6787527.503565,6915312.632397,6974587.666391,9087885.481512,14137208.409295,7063071.287157,8088810.713310,8616871.699051,10242025.503739,13630264.526791,9898293.196862,6143408.639265,7066551.381907,13796545.783510,17710021.531335,3446169.103296,6341634.409381,6153267.387880,4535174.333757,18096571.115892,4627811.963546,8862840.360537,7988501.521008,5814327.035378,12488484.643754,8536849.244104,9845773.022832,11042467.012672,7892294.348445,14517770.010794
6789881.757219,6915319.954039,6974218.508414,9081918.889960,14135164.367966,7056124.151580,8088967.584041,8615847.538725,10235236.494869,13631133.497691,9901356.978780,6139782.445955,7064055.220405,13792565.706653,17709746.556764,3443990.587430,6337778.374703,6147174.639831,4536452.563367,18096908.004470,4627527.346008,8862754.774129,7987705.980610,5810567.567700,12487765.371159,8550875.623597,9854965.525884,11059248.281197,7867614.575053,14430997.944668
6789417.199001,6914143.385149,6972860.447710,9075767.389952,14132701.842309,7053150.501794,8089645.315175,8614540.293020,10229641.242544,13633570.460431,9901996.006654,6140222.076924,7060922.375192,13799884.818832,17708003.816995,3444783.997889,6331271.969443,6147858.280999,4534240.129931,18097287.575459,4628150.014320,8855278.931154,7978187.496352,5807646.829084,12483408.028239,8646379.704165,9863900.638600,11055979.665759,7861192.149847,14429637.667502
6788707.979503,6915045.134472,6972268.025687,9070915.215038,14130968.911360,7050539.154742,8089491.169506,8612727.322736,10225562.217496,13636360.679726,9903210.532929,6136688.923732,7057738.691081,13790017.289779,17682342.372419,3443511.727049,6322127.388343,6139216.394157,4534018.686141,18080477.943258,4634815.175118,8858700.217541,7975997.654040,5809492.462903,12481916.937767,8646071.818756,9862824.729287,11054314.276241,7876876.727307,14425018.469446
